% Model:              Xsource_ver8.mph
% Version:            COMSOL 4.3.2.189
% Date:               Jan 19 2015, 15:04
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% E                       Height
2.6486486486486487E9      1.888542747451869E-11
2.6576576576576576E9      2.0669026013268224E-11
2.666666666666667E9       2.2607801556927398E-11
2.6756756756756754E9      2.47140728406332E-11
2.6846846846846848E9      2.7001039779204954E-11
2.6936936936936936E9      2.94828392916992E-11
2.7027027027027025E9      3.21746041796354E-11
2.711711711711712E9       3.509252519728036E-11
2.720720720720721E9       3.825391645718291E-11
2.7297297297297297E9      4.167728431905038E-11
2.738738738738739E9       4.5382399915056285E-11
2.7477477477477474E9      4.939037546977585E-11
2.756756756756757E9       5.3723744578153985E-11
2.7657657657657657E9      5.840654661020791E-11
2.7747747747747746E9      6.346441541658422E-11
2.783783783783784E9       6.892467251459069E-11
2.792792792792793E9       7.481642493992608E-11
2.8018018018018017E9      8.117066795505137E-11
2.810810810810811E9       8.802039281092532E-11
2.81981981981982E9        9.540069976474539E-11
2.828828828828829E9       1.033489165623236E-10
2.837837837837838E9       1.1190472259981403E-10
2.8468468468468466E9      1.2111027898569104E-10
2.855855855855856E9       1.3101036473016494E-10
2.864864864864865E9       1.416525192955611E-10
2.8738738738738737E9      1.5308719174768201E-10
2.882882882882883E9       1.6536789675467207E-10
2.891891891891892E9       1.7855137768656516E-10
2.900900900900901E9       1.9269777707540684E-10
2.90990990990991E9        2.0787081470260493E-10
2.9189189189189186E9      2.2413797358708924E-10
2.927927927927928E9       2.415706941547872E-10
2.936936936936937E9       2.602445768769332E-10
2.9459459459459457E9      2.80239593671907E-10
2.954954954954955E9       3.0164030837238177E-10
2.963963963963964E9       3.2453610656688607E-10
2.972972972972973E9       3.490214351321789E-10
2.981981981981982E9       3.7519605178018045E-10
2.9909909909909906E9      4.0316528495070743E-10
3.0E9                     4.3304030438873643E-10
3.0090090090090094E9      4.6493840275244127E-10
3.018018018018018E9       4.989832886059504E-10
3.027027027027027E9       5.353053911583849E-10
3.036036036036036E9       5.74042177118421E-10
3.045045045045045E9       6.153384800414713E-10
3.0540540540540543E9      6.593468425543271E-10
3.063063063063063E9       7.062278718499351E-10
3.072072072072072E9       7.56150608852928E-10
3.0810810810810814E9      8.092929114643753E-10
3.09009009009009E9        8.658418523022E-10
3.099099099099099E9       9.259941313617411E-10
3.108108108108108E9       9.89956504028715E-10
3.117117117117117E9       1.057946224885238E-9
3.1261261261261263E9      1.1301915077571733E-9
3.135135135135135E9       1.2069320024594126E-9
3.144144144144144E9       1.2884192887036892E-9
3.153153153153153E9       1.374917387641458E-9
3.1621621621621623E9      1.4667032915226808E-9
3.171171171171171E9       1.5640675119591484E-9
3.18018018018018E9        1.6673146472893287E-9
3.189189189189189E9       1.776763969549458E-9
3.1981981981981983E9      1.8927500315639926E-9
3.207207207207207E9       2.0156232946761956E-9
3.216216216216216E9       2.1457507776480022E-9
3.2252252252252254E9      2.283516727265986E-9
3.2342342342342343E9      2.429323311198406E-9
3.243243243243243E9       2.5835913336561806E-9
3.252252252252252E9       2.746760974418462E-9
3.2612612612612615E9      2.919292551791527E-9
3.2702702702702703E9      3.1016673100772317E-9
3.279279279279279E9       3.2943882321353974E-9
3.288288288288288E9       3.497980877631859E-9
3.2972972972972975E9      3.7129942475718826E-9
3.3063063063063064E9      3.940001675725914E-9
3.3153153153153152E9      4.179601747562843E-9
3.324324324324324E9       4.4324192473123356E-9
3.3333333333333335E9      4.699106133786583E-9
3.3423423423423424E9      4.980342545597768E-9
3.3513513513513513E9      5.276837836416134E-9
3.36036036036036E9        5.589331640919624E-9
3.3693693693693695E9      5.918594972093894E-9
3.3783783783783784E9      6.265431350548117E-9
3.3873873873873873E9      6.6306779665193526E-9
3.396396396396396E9       7.0152068752445126E-9
3.4054054054054055E9      7.419926226386307E-9
3.4144144144144144E9      7.845781528205548E-9
3.4234234234234233E9      8.29375694717953E-9
3.4324324324324327E9      8.764876643772097E-9
3.4414414414414415E9      9.260206145066669E-9
3.4504504504504504E9      9.78085375498206E-9
3.4594594594594593E9      1.0327972002793621E-8
3.4684684684684687E9      1.0902759130691156E-8
3.4774774774774776E9      1.1506460621109611E-8
3.4864864864864864E9      1.2140370764573925E-8
3.4954954954954953E9      1.2805834268805716E-8
3.5045045045045047E9      1.3504247909845467E-8
3.5135135135135136E9      1.4237062225946406E-8
